Crop,AgroEcological Zone,Additional information,Early Sowing,,Later Sowing,,All year,Sowing rate,,Growing period,,Early harvest,,Late harvest,,AgroEcological Zone Description,AgroEcological Zone Practices,AgroEcological Zone Units,Comments En,Comments ES,Comments FR,Comments ZH,Comments AR,Comments RU
Melon,Southern Jordan Valley,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370",1,3,1,4,no,15000,plantlents/ha,150-180,Days,30,5,,,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"Sandy to heavy land, with good drainage and aeration, irrigated, 200 kg chem. Fert. + 600 org. fert., 5 ton in open field, CWR (m3 water/du.) =370. Open field",,,,,
Pumpkin,Southern Jordan Valley,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , CWR (m3 water/du.) =450",15,8,1,10,no,12000,seedlings/ha,70-90,Days,15,11,1,1,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"fertile, high organic matrial well-drained soil devoid of salt, irrigated, 100 kg chem. Fert. + 300 org. fert., 2.5 ton in open field , CWR (m3 water/du.) =450",,,,,
Cauliflower,Southern Jordan Valley,"From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, CWR (m3 water/du.) =650",1,8,1,10,no,50000,seedlings/ha,120-150,Days,1,12,1,2,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"From heavy to light, fertile with good drainage and aeration, irrigated, 150 kg chem. + 300 kg org. fert., 2.5 in open field, CWR (m3 water/du.) =650",,,,,
"Cabbage, common",Southern Jordan Valley,"sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, CWR (m3 water/du.) =650",1,8,1,10,no,50000,seedlings/ha,120-150,Days,15,1,15,3,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"sandy clay soil, irrigated, 151 kg chem. + 300 kg org. fert., 3 ton in open field, CWR (m3 water/du.) =650",,,,,
Jew's Mallow,Southern Jordan Valley,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 1.5-3, CWR (m3 water/du.) =171,",1,4,1,6,no,50,kg/ha,50-70,Days,1,6,1,8,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 1.5-3, CWR (m3 water/du.) =171,",,,,,
Okra,Southern Jordan Valley,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 0.5-0.7, ",1,3,1,4,no,5000-7500,gr/ha,150,Days,1,7,1,8,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"From heavy to light, fertile with good drainage and aeration, irrigated, productivity 0.5-0.7, ",,,,,
Orange,Northern Jordan Valley,Irrigated,,,,,yes,300-360,seedlings/ha,,,1,11,30,1,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"start pruning from 20 dec. to 1 feb., start fruiting after1.5-2.5 years from plantation. Irrigated",,,,,
Lemon,Northern Jordan Valley,"soil rich in organic matter, stone free, irrigated",,,,,yes,300-360,seedlings/ha,,,1,10,1,3,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"start pruning from 20 dec. to 1 feb., start fruiting after1.5-2.5 years from plantation. soil rich in organic matter, stone free, irrigated",,,,,
Mandarin,Northern Jordan Valley,irrigated,,,,,yes,300-360,seedlings/ha,,,1,1,30,1,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"start pruning from 20 dec. to 1 feb., start fruiting after1.5-2.5 years from plantation. Irrigated",,,,,
Grapefruit,Northern Jordan Valley,Irrigated,,,,,yes,300-360,seedlings/ha,,,1,11,30,1,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"start pruning from 20 dec. to 1 feb., start fruiting after1.5-2.5 years from plantation. Irrigated",,,,,
Pomegranate,Northern Jordan Valley,"sandy clay soil, irrigated, 600 kg org. fert.",,,,,yes,400-850,seedlings/ha,,,1,7,30,11,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"pruning start from aug. to oct., start fruiting after 3 years from plantation with good management. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Grape,Northern Jordan Valley,"sandy clay soil, irrigated, 600 kg org. fert.",,,,,yes,1100-2500,seedlings/ha,,,15,5,15,7,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"start pruning from 20 dec. to 1 feb., start fruiting after 1.5 years from plantation. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Guava,Northern Jordan Valley,irrigated,,,,,yes,300-600,seedlings/ha,,,15,9,15,12,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"start pruning from jan. and feb., start fruiting after 3-4 years from plantation. Irrigated",,,,,
Date Palm,Northern Jordan Valley,"Sandy soil, shouldn't be Alkaline Soil, irrigated, fertilizers added in two time of cropping cycle, after fruiting, and before flowering (N=1Kg/year, P=250-300 Kg/year, K=750 Kg/year), Yield = 3-4 ton/du",,,,,yes,100-200,seedlings/ha,,,1,8,1,11,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor," Start fruiting after 4 years from plantation. Sandy soil, shouldn't be Alkaline Soil, irrigated, fertilizers added in two time of cropping cycle, after fruiting, and before flowering (N=1Kg/year, P=250-300 Kg/year, K=750 Kg/year), Yield = 3-4 ton/du",,,,,
Banana,Northern Jordan Valley,"irrigated, Yield = 5-10 ton/du, CWR = 1400-1600 m3/du/ season",1,3,1,4,no,1100-1800,seedlings/ha,,,1,7,1,10,"Rainfall isohytes range within ( 300-450) mm/year , altitude range (-343- 324) m, mean annual range of max. tempreature(30-34) oC,mean annual range of min. tempreature(18-22) oC","Irrigated agriculture: for cereals( crops like maize, barley ) and for legumes (crops like beans), for root and tubber (crops like potato, carrot) in addition to the vegetables (crops like okra, lettuce) at for fruit trees (like guva, palm)",Northern ghor,"start fruiting after 1 year years from plantation. irrigated, Yield = 5-10 ton/du, CWR = 1400-1600 m3/du/ season",,,,,
Orange,Middle Jordan Valley,Irrigated,,,,,yes,300-360,seedlings/ha,,,1,11,30,1,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",start fruiting after1.5-2.5 years from plantation. Irrigated,,,,,
Lemon,Middle Jordan Valley,"soil rich in organic matter, stone free, irrigated",,,,,yes,300-360,seedlings/ha,,,1,10,1,3,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","start fruiting after1.5-2.5 years from plantation. soil rich in organic matter, stone free, irrigated",,,,,
Mandarin,Middle Jordan Valley,irrigated,,,,,yes,300-360,seedlings/ha,,,1,10,30,11,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",start fruiting after1.5-2.5 years from plantation. Irrigated,,,,,
Mandarin,Middle Jordan Valley,irrigated,,,,,yes,300-360,seedlings/ha,,,1,1,1,3,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",start fruiting after1.5-2.5 years from plantation. Irrigated,,,,,
Grapefruit,Middle Jordan Valley,irrigated,,,,,yes,300-360,seedlings/ha,,,1,11,30,1,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",Irrigated,,,,,
Grapefruit,Middle Jordan Valley,irrigated,,,,,yes,300-360,seedlings/ha,,,1,10,30,3,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",start fruiting after1.5-2.5 years from plantation. Irrigated,,,,,
Fig,Middle Jordan Valley,"prefer medium soil,irrigated",,,,,yes,200-250,seedlings/ha,,,1,6,30,7,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","pruning start from aug. to oct., start fruiting after 3-6 years after plantaton ( 3 years with good management). prefer medium soil. irrigated",,,,,
Pomegranate,Middle Jordan Valley,"sandy clay soil, irrigated, 600 kg org. fert.",,,,,yes,400-850,seedlings/ha,,,1,7,30,11,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","pruning start from aug. to oct., start fruiting after 3 years from plantation with good management. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Grape,Middle Jordan Valley,"sandy clay soil, irrigated, 600 kg org. fert.",,,,,yes,1100-2500,seedlings/ha,,,15,5,15,7,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","start fruiting after 1.5 years from plantation. sandy clay soil, irrigated, 600 kg org. fert.",,,,,
Guava,Middle Jordan Valley,irrigated,,,,,yes,300-600,seedlings/ha,,,15,9,15,12,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla",start fruiting after 3-4 years from plantation. Irrigated,,,,,
Date Palm,Middle Jordan Valley,"Sandy soil, shouldn't be Alkaline Soil, irrigated, fertilizers added in two time of cropping cycle, after fruiting, and before flowering (N=1Kg/year, P=250-300 Kg/year, K=750 Kg/year), Yield = 3-4 ton/du,",,,,,yes,100-200,seedlings/ha,,,15,8,1,11,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","start fruiting after 4 years from plantation. Sandy soil, shouldn't be Alkaline Soil, irrigated, fertilizers added in two time of cropping cycle, after fruiting, and before flowering (N=1Kg/year, P=250-300 Kg/year, K=750 Kg/year), Yield = 3-4 ton/du,",,,,,
Banana,Middle Jordan Valley,"irrigated, Yield = 5-10 ton/du, CWR = 1400-1600 m3/du/ season",1,3,1,4,no,1100-1800,seedlings/ha,,,1,7,1,10,"Rainfall isohytes range within ( 100-350) mm/year , altitude range(-429- 330) m, mean annual range of max. tempreature(28-32) oC,mean annual range of min. tempreature(18-20) oC","Irrigated agriculture: for cereals( crops like maize ) and for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber) for fruit trees (like orange, lemon)","southern shouneh, Dairalla","start fruiting after 1 year years from plantation. irrigated, Yield = 5-10 ton/du, CWR = 1400-1600 m3/du/ season",,,,,
Banana,Southern Jordan Valley,"Sandy soil, shouldn't be Alkaline Soil, irrigated, Yield = 5-10 ton/du,  CWR = 1400-1600 m3/du/ season",1,3,1,4,no,1100-1800,corms/ha,,,1,7,1,10,"Rainfall isohytes range within ( 100-300) mm/year , altitude range (-422-1032) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(10-20) oC.","Irrigated agriculture for legumes (crops like beans), for root and tubber (crops like potato) in addition to the vegetables (crops like squash, cucumber) for protected one (crops like cucumber, watermelon) for fruit trees (like banana, palm)",southern ghor,"start fruiting after 1 year years from plantation. Sandy soil, shouldn't be Alkaline Soil, irrigated, Yield = 5-10 ton/du,  CWR = 1400-1600 m3/du/ season",,,,,
"Wheat, bread",Northern Highlands,"rainfed,  apply DAP fertilizer 10g/m2 at sowing time and urea 5g/m2 at tillering stage",1,11,30,12,no,120-140,kg/ha,180,Days,15,5,15,6,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","Row spacing is 17.5 cm. rainfed,  apply DAP fertilizer 10g/m2 at sowing time and urea 5g/m2 at tillering stage",,,,,
Barley,Northern Highlands,"rainfed,  DAP fertilizer 5g/m2 at sowing and urea 3g/m2 at tillering",1,10,30,11,no,100-120,kg/ha,180,Days,1,5,1,6,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","Row spacing is 16 cm. rainfed,  DAP fertilizer 5g/m2 at sowing and urea 3g/m2 at tillering",,,,,
Sesame,Northern Highlands,"well drained, rainfed",15,2,15,3,no,44119,kg/ha,105-120,Days,1,6,15,7,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","well drained, rainfed",,,,,
Sorghum,Northern Highlands,rainfed,15,3,15,4,no,43997,kg/ha,120-135,Days,1,8,1,9,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan","Row spacing is 35 cm, and sowing depth is 3-4 cm. rainfed",,,,,
Corn,Northern Highlands,rainfed,15,3,1,4,no,50-70,kg/ha,130,Days,1,8,15,8,"Rainfall isohytes range within ( 350-650) mm/year , altitude range ( -238 -1229) m, mean annual range of max. tempreature(10-32) oC,mean annual range of min. tempreature( 6-22) oC.","Rainfed agriculture: for cereals( crops like wheat, barley, maize) and for legumes (crops like lentile, beans). Irrigated agriculture for open fields (crops like potato, carrot) in addition to open fields and protectedone for vegtables (crops like tomato, pepper) moreover for fruit trees (like almonds, apple)","parts of( Irbid),Ajlun, Jerash in the north of Jordan",rainfed,,,,,
"Wheat, bread",Middle Highlands,"rainfed,  apply DAP fertilizer 10g/m2 at sowing time and urea 5g/m2 at tillering stage",1,11,30,12,no,120-140,kg/ha,180,Days,15,5,15,6,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","Row spacing is 17.5 cm. rainfed,  apply DAP fertilizer 10g/m2 at sowing time and urea 5g/m2 at tillering stage",,,,,
Barley,Middle Highlands,"irrigated and rainfed,  DAP fertilizer 5g/m2 at sowing and urea 3g/m2 at tillering",1,10,30,11,no,100-120,kg/ha,180,Days,1,5,1,6,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","Row spacing is 16 cm. irrigated and rainfed,  DAP fertilizer 5g/m2 at sowing and urea 3g/m2 at tillering",,,,,
Sorghum,Middle Highlands,rainfed,15,3,15,4,no,43997,kg/ha,120-135,Days,1,8,1,9,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba","Row spacing is 35 cm, and sowing depth is 3-4 cm. Rainfed",,,,,
Corn,Middle Highlands,rainfed,15,3,1,4,no,50-70,kg/ha,130,Days,1,8,15,8,"Rainfall isohytes range within ( 100-400) mm/year , altitude range (-421-1100) m, mean annual range of max. tempreature(18-24) oC,mean annual range of min. tempreature(10-14) oC","Rainfed agriculture: for cereals( crops like wheat, maize) and for legumes (crops like lentile, chickpea). Open field agriculture for root, bulb and and tubers (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open fields and protected for vegtables (crops like tomato, pepper). Irrigated agriculture for cereals (crops like barley) and for legumes (crop like beans) in addition to the fruit trees (like grapes, figs)","parts of (Amman, Zarqa, Balqa), Madaba",Rainfed,,,,,
"Wheat, bread",Southern Highlands,"rainfed,  apply DAP fertilizer 10g/m2 at sowing time and urea 5g/m2 at tillering stage",15,11,30,1,no,120-140,kg/ha,180,Days,30,1,30,6,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Row spacing is 17.5 cm. rainfed,  apply DAP fertilizer 10g/m2 at sowing time and urea 5g/m2 at tillering stage",,,,,
Barley,Southern Highlands,"rainfed,  DAP fertilizer 5g/m2 at sowing and urea 3g/m2 at tillering",15,10,30,11,no,100-120,kg/ha,180,Days,15,5,15,6,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Row spacing is 16 cm. rainfed,  DAP fertilizer 5g/m2 at sowing and urea 3g/m2 at tillering",,,,,
Sorghum,Southern Highlands,rainfed,15,3,15,4,no,43997,kg/ha,120-135,Days,1,8,1,9,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)","Row spacing is 35 cm, and sowing depth is 3-4 cm. Rainfed",,,,,
Corn,Southern Highlands,irrigated and rainfed,15,3,1,4,no,50-70,kg/ha,130,Days,1,8,15,8,"Rainfall isohytes range within ( 100-300) mm/year , altitude rangel(-405-1725) m, mean annual range of max. tempreature(20-34) oC,mean annual range of min. tempreature(6-28) oC","Rainfed agriculture: for cereals( crops like wheat, surghom ) and for legumes (crops like lentile, chickpea). Open field agriculture for root and tubber (crops like potato, carrot) in addition to the protected one (crops like onion green) . Irrigated agriculture for open field and protected vegtables (crops like tomato, pepper) and for fruit trees (like grapes, figs). Irrigated agriculture for cereals (crops like maize) and for legumes (crop like beans)","parts of (Karak, Tafilah,Ma'an)",irrigated and rainfed,,,,,
